ts,src_ip,dst_ip,src_port,dst_port,proto,service,conn_state,duration,orig_pkts,resp_pkts,pkts_total,orig_bytes,resp_bytes,bytes_total,pkts_per_sec,bytes_per_sec,iat_mean,iat_std,syn_count,ack_count,rst_count,attack_type,label,risk_hint
2026-01-04T01:08:34,192.168.4.129,192.168.2.59,48542,22,TCP,ssh,REJ,1.441659,23,13,36,4873.44,2747.48,7620.92,24.9712,5286.207,0.107311,0.03065,3,6,0,BruteForce,1,0.7759
2026-01-07T19:11:28,192.168.4.93,192.168.0.59,59972,22,TCP,ssh,REJ,0.430291,16,6,22,6075.3,1522.61,7597.91,51.128,17657.5461,0.02041,0.018249,3,7,0,BruteForce,1,0.626
2026-01-07T22:12:42,192.168.3.209,192.168.2.164,62848,22,TCP,ssh,REJ,0.72738,25,6,31,6986.25,2382.98,9369.23,42.6186,12880.7689,0.007271,0.01778,1,7,0,BruteForce,1,0.7329
2026-01-01T23:48:12,192.168.0.143,192.168.1.223,31295,22,TCP,ssh,SF,2.897719,25,5,30,6217.47,1307.92,7525.38,10.353,2597.0014,0.025274,0.0054,2,8,1,BruteForce,1,0.5542
2026-01-06T22:24:18,192.168.4.113,192.168.1.86,11921,22,TCP,ssh,RSTO,1.638441,34,6,40,5560.2,2632.42,8192.62,24.4134,5000.248,0.062425,0.027875,1,7,2,BruteForce,1,0.7989
2026-01-05T14:02:16,192.168.4.9,192.168.0.44,20420,22,TCP,ssh,REJ,0.379629,16,8,24,4434.09,2653.3,7087.39,63.2195,18669.2093,0.035641,0.02224,1,6,2,BruteForce,1,0.7164
2026-01-05T09:28:08,192.168.1.113,192.168.2.149,44808,22,TCP,ssh,RSTO,0.859062,34,7,41,6071.91,2400.1,8472.0,47.7264,9861.9105,0.105683,0.040233,4,4,1,BruteForce,1,0.7473
2026-01-02T02:42:00,192.168.2.60,192.168.1.11,39501,22,TCP,ssh,REJ,0.754745,15,9,24,3310.43,1657.73,4968.17,31.7988,6582.5741,0.005652,0.001482,3,4,4,BruteForce,1,0.6426
2026-01-02T01:29:50,192.168.4.212,192.168.4.79,63230,22,TCP,ssh,SF,0.398731,20,7,27,4823.81,2726.2,7550.01,67.7147,18935.0755,0.005612,0.035904,4,7,1,BruteForce,1,0.6716
2026-01-05T15:28:42,192.168.0.246,192.168.3.112,65258,22,TCP,ssh,REJ,0.433768,22,12,34,7447.55,4274.92,11722.47,78.3828,27024.7183,0.003562,0.023226,5,5,1,BruteForce,1,0.8424
2026-01-06T21:23:53,192.168.3.13,192.168.0.11,22586,22,TCP,ssh,SF,0.844529,25,9,34,6781.97,2384.14,9166.11,40.2591,10853.4996,0.084349,0.044056,6,7,1,BruteForce,1,0.6126
2026-01-02T07:12:09,192.168.2.155,192.168.4.76,63923,22,TCP,ssh,RSTO,0.158469,27,8,35,9764.12,3458.62,13222.74,220.8616,83439.8304,0.012637,0.063945,6,3,0,BruteForce,1,0.6632
2026-01-03T21:54:28,192.168.3.236,192.168.3.37,58924,22,TCP,ssh,REJ,0.285722,28,11,39,6861.01,3625.68,10486.69,136.4958,36702.2797,0.000616,0.035027,4,5,1,BruteForce,1,0.7388
2026-01-07T16:04:51,192.168.1.80,192.168.0.77,53600,22,TCP,ssh,SF,0.388585,27,9,36,9416.32,2411.23,11827.55,92.6435,30437.3693,0.013691,0.052403,3,4,2,BruteForce,1,0.7376
2026-01-06T03:23:47,192.168.3.65,192.168.1.41,54660,22,TCP,ssh,RSTO,0.527279,27,8,35,4563.94,2269.74,6833.68,66.3784,12960.2617,0.050651,0.052344,4,7,1,BruteForce,1,0.749
2026-01-06T20:04:13,192.168.2.129,192.168.2.140,27361,22,TCP,ssh,REJ,1.352342,31,13,44,9685.73,4762.93,14448.66,32.5361,10684.1707,0.007553,0.032609,2,10,0,BruteForce,1,0.6718
2026-01-02T21:28:53,192.168.4.179,192.168.4.68,12010,22,TCP,ssh,RSTO,0.936522,27,10,37,3408.51,2089.09,5497.61,39.5078,5870.2279,0.014411,0.013656,4,8,0,BruteForce,1,0.736
2026-01-05T06:32:57,192.168.0.116,192.168.1.135,60654,22,TCP,ssh,RSTO,1.044737,17,10,27,6556.31,1706.43,8262.74,25.8438,7908.9127,0.102335,0.02581,1,7,0,BruteForce,1,0.7283
2026-01-03T01:58:38,192.168.0.31,192.168.2.222,42491,22,TCP,ssh,REJ,0.408479,27,8,35,10089.36,3116.67,13206.03,85.6835,32329.6823,0.016245,0.023743,3,6,1,BruteForce,1,0.6476
2026-01-03T20:00:44,192.168.3.101,192.168.4.155,33412,22,TCP,ssh,SF,2.636207,18,12,30,8229.39,1938.23,10167.61,11.38,3856.9082,0.010951,0.035797,5,7,0,BruteForce,1,0.5549
2026-01-01T12:37:31,192.168.0.142,192.168.2.70,27807,22,TCP,ssh,REJ,0.969815,28,8,36,6802.32,1505.17,8307.49,37.1205,8566.0497,0.125772,0.015638,2,7,0,BruteForce,1,0.6658
2026-01-02T02:23:56,192.168.3.172,192.168.3.161,43476,22,TCP,ssh,REJ,1.415838,27,7,34,8010.36,1572.08,9582.44,24.014,6768.0323,0.013626,0.020636,8,5,3,BruteForce,1,0.7517
2026-01-04T19:53:10,192.168.4.17,192.168.4.251,1366,22,TCP,ssh,RSTO,2.937236,33,6,39,7872.71,2715.75,10588.46,13.2778,3604.9052,0.06088,0.048544,5,6,1,BruteForce,1,0.7512
2026-01-01T01:35:47,192.168.0.228,192.168.4.154,53906,22,TCP,ssh,REJ,0.194631,22,8,30,5277.03,3482.08,8759.11,154.1368,45003.3628,0.036851,0.046506,2,14,1,BruteForce,1,0.5919
2026-01-01T00:23:57,192.168.0.123,192.168.0.68,54668,22,TCP,ssh,SF,0.169915,27,7,34,8905.13,5927.95,14833.08,200.0988,87296.4859,0.001398,0.062935,3,3,2,BruteForce,1,0.8385
2026-01-06T04:27:32,192.168.4.119,192.168.3.66,18575,22,TCP,ssh,RSTO,0.508091,23,9,32,3003.22,1794.59,4797.8,62.9807,9442.7783,0.12635,0.016034,4,9,0,BruteForce,1,0.612
2026-01-05T17:24:31,192.168.1.176,192.168.1.11,58034,22,TCP,ssh,RSTO,0.600834,21,2,23,3753.51,2093.41,5846.92,38.28,9731.3243,0.04198,0.039162,3,10,0,BruteForce,1,0.6482
2026-01-06T12:18:26,192.168.0.160,192.168.0.59,50341,22,TCP,ssh,SF,2.152921,22,11,33,4958.85,2256.47,7215.32,15.328,3351.4075,0.063657,0.035444,2,4,1,BruteForce,1,0.58
2026-01-06T17:55:59,192.168.4.40,192.168.4.221,14906,22,TCP,ssh,SF,0.531676,18,8,26,4237.62,2782.95,7020.57,48.9019,13204.5844,0.075929,0.022652,5,9,0,BruteForce,1,0.7914
2026-01-04T18:48:05,192.168.4.165,192.168.4.136,29001,22,TCP,ssh,RSTO,2.504207,26,5,31,8182.19,1736.11,9918.3,12.3792,3960.6532,0.026302,0.078021,5,7,4,BruteForce,1,0.6312
2026-01-02T13:26:56,192.168.3.168,192.168.2.155,7460,22,TCP,ssh,SF,0.976298,30,5,35,8073.65,3731.67,11805.32,35.8497,12091.9113,0.087556,0.000516,3,5,0,BruteForce,1,0.8068
2026-01-07T18:33:26,192.168.2.211,192.168.0.136,50701,22,TCP,ssh,SF,8.962954,34,12,46,4250.91,1675.14,5926.05,5.1322,661.1712,0.116672,0.005118,3,6,1,BruteForce,1,0.6528
2026-01-07T04:37:06,192.168.1.140,192.168.4.48,5949,22,TCP,ssh,RSTO,1.738069,21,6,27,6081.4,1873.44,7954.84,15.5345,4576.825,0.030077,0.059483,5,4,1,BruteForce,1,0.7022
2026-01-05T21:09:08,192.168.4.231,192.168.2.76,13662,22,TCP,ssh,REJ,0.534371,17,9,26,3104.92,1353.31,4458.24,48.6552,8342.9385,0.001079,0.00742,4,10,0,BruteForce,1,0.8163
2026-01-02T03:06:05,192.168.2.60,192.168.4.192,64078,22,TCP,ssh,REJ,1.70009,19,7,26,4357.46,2625.2,6982.67,15.2933,4107.2303,0.133236,0.022807,3,7,0,BruteForce,1,0.6562
2026-01-01T17:02:05,192.168.3.240,192.168.0.211,44970,22,TCP,ssh,RSTO,2.297992,32,8,40,10404.96,2401.97,12806.93,17.4065,5573.0943,0.209798,0.016925,2,14,0,BruteForce,1,0.7816
2026-01-06T14:08:52,192.168.0.243,192.168.0.160,30061,22,TCP,ssh,RSTO,0.081863,25,8,33,5543.38,2022.51,7565.89,403.1083,92420.4445,0.186607,0.028518,2,9,0,BruteForce,1,0.6307
2026-01-03T21:57:47,192.168.2.150,192.168.2.234,50851,22,TCP,ssh,RSTO,0.654154,24,7,31,5830.53,2153.17,7983.7,47.3894,12204.5899,0.06686,0.017307,2,10,0,BruteForce,1,0.8106
2026-01-06T12:42:33,192.168.3.193,192.168.2.163,43092,22,TCP,ssh,RSTO,0.077381,23,8,31,4499.79,1183.22,5683.01,400.6116,73441.2828,0.066189,0.032017,1,9,0,BruteForce,1,0.6488
2026-01-02T13:25:59,192.168.0.132,192.168.3.79,59225,22,TCP,ssh,REJ,0.189546,26,9,35,5257.98,3348.39,8606.37,184.651,45405.0097,0.118661,0.005281,3,8,5,BruteForce,1,0.5585
2026-01-02T16:41:22,192.168.0.95,192.168.3.20,3286,22,TCP,ssh,SF,2.459909,40,8,48,8779.19,4609.82,13389.01,19.5129,5442.8874,0.107297,0.035645,3,5,0,BruteForce,1,0.8435
2026-01-03T09:08:23,192.168.4.127,192.168.2.30,43391,22,TCP,ssh,REJ,1.036105,24,4,28,4430.14,2223.68,6653.82,27.0243,6421.9458,0.050094,0.042858,2,5,2,BruteForce,1,0.8127
2026-01-06T06:43:06,192.168.1.11,192.168.0.13,62216,22,TCP,ssh,REJ,0.488558,25,9,34,5630.04,2863.15,8493.19,69.5925,17384.1827,0.001941,0.044119,3,5,0,BruteForce,1,0.6195
2026-01-03T15:42:24,192.168.1.118,192.168.1.174,9727,22,TCP,ssh,RSTO,0.854975,31,8,39,4487.08,2674.95,7162.04,45.6153,8376.8863,0.00055,0.026119,3,9,0,BruteForce,1,0.7657
2026-01-06T10:03:58,192.168.1.103,192.168.4.108,5141,22,TCP,ssh,REJ,1.32011,25,6,31,3492.44,1697.91,5190.35,23.4829,3931.7508,0.032082,0.016107,2,9,0,BruteForce,1,0.7374
2026-01-05T01:45:08,192.168.1.94,192.168.0.240,51598,22,TCP,ssh,REJ,0.071807,26,10,36,7881.38,1678.61,9559.99,501.3394,133133.357,0.095257,0.039384,1,11,1,BruteForce,1,0.7864
2026-01-04T20:22:03,192.168.1.28,192.168.4.241,46262,22,TCP,ssh,RSTO,0.687892,26,6,32,7828.66,2255.91,10084.57,46.5189,14660.0839,0.057433,0.024949,2,4,3,BruteForce,1,0.6935
2026-01-07T14:38:22,192.168.4.148,192.168.2.12,25854,22,TCP,ssh,REJ,0.109735,22,8,30,5181.61,3364.14,8545.76,273.3831,77875.5192,0.100506,0.015418,3,7,0,BruteForce,1,0.6077
2026-01-02T22:12:40,192.168.3.114,192.168.1.249,59716,22,TCP,ssh,REJ,0.244135,16,10,26,4441.62,1260.3,5701.93,106.498,23355.5158,0.082804,0.045545,2,5,0,BruteForce,1,0.6287
2026-01-07T19:07:59,192.168.0.113,192.168.2.118,30144,22,TCP,ssh,SF,1.996877,28,7,35,4451.86,2340.0,6791.86,17.5274,3401.2377,0.027509,0.050925,2,7,0,BruteForce,1,0.5551
2026-01-05T04:49:59,192.168.3.150,192.168.3.75,57965,22,TCP,ssh,REJ,0.369141,22,7,29,3679.31,1833.13,5512.43,78.5605,14933.0771,0.002759,0.062002,3,7,0,BruteForce,1,0.8005
2026-01-02T06:50:33,192.168.0.90,192.168.3.25,18499,22,TCP,ssh,REJ,0.251293,19,10,29,6100.09,2040.09,8140.19,115.4027,32393.0949,0.018559,0.048569,6,7,0,BruteForce,1,0.745
2026-01-02T00:59:17,192.168.2.252,192.168.4.133,16164,22,TCP,ssh,SF,1.261286,25,11,36,6598.93,2100.29,8699.22,28.5423,6897.096,0.142175,0.027841,1,9,3,BruteForce,1,0.5754
2026-01-06T09:18:53,192.168.3.137,192.168.2.232,24896,22,TCP,ssh,RSTO,0.16719,24,11,35,3676.85,1822.23,5499.08,209.3408,32890.9073,0.029021,0.000568,3,6,1,BruteForce,1,0.6685
2026-01-02T12:57:56,192.168.4.76,192.168.3.79,64216,22,TCP,ssh,RSTO,2.446188,28,7,35,5878.36,2187.57,8065.93,14.308,3297.3454,0.067899,0.0065,2,7,0,BruteForce,1,0.5731
2026-01-03T13:38:25,192.168.1.197,192.168.3.102,20102,22,TCP,ssh,RSTO,0.665629,25,10,35,5829.07,2404.6,8233.67,52.5817,12369.7379,0.020487,0.026672,2,5,2,BruteForce,1,0.8143
2026-01-01T03:49:40,192.168.4.18,192.168.1.148,2203,22,TCP,ssh,SF,0.266218,24,8,32,2205.21,1287.98,3493.19,120.2016,13121.4736,0.041521,0.012754,3,9,3,BruteForce,1,0.631
2026-01-07T21:35:05,192.168.4.198,192.168.4.2,32103,22,TCP,ssh,REJ,0.413919,19,10,29,5473.15,2367.14,7840.29,70.0619,18941.5679,0.045037,0.000828,2,10,0,BruteForce,1,0.6353
2026-01-03T03:34:04,192.168.2.238,192.168.3.175,13677,22,TCP,ssh,RSTO,0.234761,34,8,42,6139.6,2557.72,8697.32,178.9043,37047.3294,0.068879,0.043232,2,7,0,BruteForce,1,0.8102
2026-01-03T06:47:44,192.168.0.80,192.168.4.91,23920,22,TCP,ssh,RSTO,0.847207,21,9,30,4857.07,1587.89,6444.97,35.4104,7607.3007,0.054703,0.043058,2,7,2,BruteForce,1,0.6498
2026-01-02T04:34:46,192.168.0.166,192.168.2.91,18418,22,TCP,ssh,RSTO,1.026091,26,5,31,5584.37,1269.92,6854.29,30.2117,6679.9972,0.282597,0.0421,4,9,1,BruteForce,1,0.5535
2026-01-06T14:21:08,192.168.2.145,192.168.1.153,37047,22,TCP,ssh,SF,0.875684,30,6,36,9085.08,3741.83,12826.91,41.1107,14647.8634,0.049111,0.047853,2,4,1,BruteForce,1,0.6171
2026-01-07T16:27:10,192.168.3.126,192.168.0.51,19951,22,TCP,ssh,RSTO,0.205137,21,10,31,6979.36,3206.0,10185.36,151.1175,49651.1614,0.013834,0.035718,5,7,1,BruteForce,1,0.7644
2026-01-03T09:54:43,192.168.4.250,192.168.1.58,10304,22,TCP,ssh,SF,0.763704,29,6,35,5058.95,1266.0,6324.95,45.8292,8281.936,0.037549,0.040269,2,6,1,BruteForce,1,0.5892
2026-01-03T03:11:00,192.168.1.29,192.168.3.5,26624,22,TCP,ssh,REJ,0.143356,25,10,35,6071.88,2663.31,8735.18,244.1452,60932.9541,0.149209,0.00571,3,16,0,BruteForce,1,0.835
2026-01-01T20:53:48,192.168.0.111,192.168.4.137,35401,22,TCP,ssh,SF,0.114733,20,6,26,5226.92,2264.54,7491.45,226.611,65294.0523,0.042254,0.01078,5,7,1,BruteForce,1,0.6048
2026-01-03T11:40:08,192.168.3.44,192.168.0.205,8518,22,TCP,ssh,REJ,0.25275,20,7,27,10281.66,2745.25,13026.91,106.8247,51540.5512,0.077466,0.046253,2,6,0,BruteForce,1,0.8355
2026-01-01T05:28:57,192.168.3.34,192.168.3.39,46441,22,TCP,ssh,RSTO,0.182328,19,3,22,3318.15,670.83,3988.98,120.6612,21877.9526,0.006635,0.029246,4,6,0,BruteForce,1,0.5705
2026-01-07T06:09:11,192.168.0.75,192.168.0.97,31540,22,TCP,ssh,RSTO,0.588913,24,8,32,3508.46,2081.57,5590.04,54.3373,9492.1087,0.008808,0.014402,1,7,1,BruteForce,1,0.6608
2026-01-05T10:34:19,192.168.0.82,192.168.4.81,45706,22,TCP,ssh,SF,3.678882,24,10,34,5593.76,1089.36,6683.11,9.2419,1816.6147,0.049458,0.054127,5,6,1,BruteForce,1,0.5854
2026-01-03T16:26:23,192.168.1.114,192.168.1.170,12486,22,TCP,ssh,RSTO,0.24747,33,10,43,7673.03,1594.27,9267.3,173.7576,37447.9704,0.095326,0.01236,5,7,2,BruteForce,1,0.8494
2026-01-03T16:59:49,192.168.0.68,192.168.2.109,28717,22,TCP,ssh,RSTO,0.275981,20,11,31,7451.89,1419.99,8871.87,112.3262,32146.5824,0.031063,0.027603,2,12,2,BruteForce,1,0.7735
2026-01-02T14:13:06,192.168.0.72,192.168.1.114,44676,22,TCP,ssh,SF,0.711287,29,6,35,5454.43,1299.03,6753.47,49.2065,9494.7061,0.036538,0.023498,2,4,1,BruteForce,1,0.7283
2026-01-07T06:03:35,192.168.4.18,192.168.1.223,34560,22,TCP,ssh,SF,1.348589,23,8,31,7310.09,3770.51,11080.6,22.987,8216.4335,0.077191,0.028275,3,6,1,BruteForce,1,0.703
2026-01-02T05:11:58,192.168.3.172,192.168.3.12,37873,22,TCP,ssh,REJ,1.031502,24,3,27,7097.49,1888.58,8986.07,26.1754,8711.6262,0.01812,0.017718,2,4,0,BruteForce,1,0.604
2026-01-07T22:19:36,192.168.4.18,192.168.0.3,10837,22,TCP,ssh,REJ,2.246732,20,4,24,3895.85,2189.07,6084.92,10.6822,2708.3418,0.00763,0.031687,3,6,0,BruteForce,1,0.8435
2026-01-04T13:40:04,192.168.0.233,192.168.2.150,30106,22,TCP,ssh,RSTO,0.281643,19,4,23,6598.57,2043.15,8641.72,81.6633,30683.1238,0.001262,0.03362,1,4,2,BruteForce,1,0.6176
2026-01-02T03:19:17,192.168.1.4,192.168.1.48,17281,22,TCP,ssh,REJ,0.913645,38,10,48,4828.78,1741.89,6570.67,52.5368,7191.7054,0.226948,0.016312,4,3,1,BruteForce,1,0.669
2026-01-01T12:03:30,192.168.2.175,192.168.1.166,51214,22,TCP,ssh,REJ,0.936263,18,8,26,2584.1,1655.74,4239.84,27.7699,4528.4608,0.045989,0.042038,5,7,0,BruteForce,1,0.6633
2026-01-01T14:14:05,192.168.4.84,192.168.1.56,23943,22,TCP,ssh,SF,0.543929,37,5,42,4506.01,2358.29,6864.31,77.2158,12619.8274,0.010224,0.006201,4,8,0,BruteForce,1,0.7752
2026-01-01T04:58:25,192.168.2.158,192.168.1.221,55629,22,TCP,ssh,RSTO,1.625509,24,5,29,4924.44,2880.01,7804.45,17.8406,4801.232,0.003289,0.021754,2,3,0,BruteForce,1,0.6529
2026-01-01T11:11:46,192.168.2.35,192.168.0.127,7108,22,TCP,ssh,REJ,0.139125,28,13,41,6711.62,3324.34,10035.96,294.6963,72135.5894,0.102401,0.045917,5,5,0,BruteForce,1,0.666
2026-01-02T10:34:42,192.168.0.91,192.168.3.157,50092,22,TCP,ssh,REJ,1.307406,22,8,30,5559.98,2186.75,7746.74,22.9462,5925.2682,0.003715,0.017609,3,6,1,BruteForce,1,0.7582
2026-01-02T03:42:18,192.168.1.61,192.168.0.160,17407,22,TCP,ssh,REJ,0.514257,22,9,31,4714.39,1353.03,6067.42,60.2811,11798.4056,0.047738,0.043111,3,4,0,BruteForce,1,0.7832
2026-01-07T04:42:05,192.168.3.17,192.168.2.148,2964,22,TCP,ssh,REJ,0.984689,31,6,37,6964.7,1504.85,8469.55,37.5753,8601.2382,0.057212,0.000918,2,3,3,BruteForce,1,0.7575
2026-01-05T14:10:29,192.168.1.63,192.168.2.188,28867,22,TCP,ssh,RSTO,1.063501,29,11,40,8702.74,4249.5,12952.23,37.6116,12178.8478,0.126479,0.022904,3,7,1,BruteForce,1,0.73
